Sample ID,(Y/N) Transcribed from 2024 data sheets,Latitude,Longitude,Site Owner,(Y/N) Canker Status Written On Sample Bag,Notes on sample collection,Site number or initial,Month sampled,Date Sampled,Photo numbers,Slope,Aspect,Plant height (ft),DBH (cm),Producing seed?,Collected,Percent live canopy,Number of epicormic branches/ sprouts from the base,Number of epicormic branches/ sprouts from the trunk,Visible cankers? (according to health assessment form),"If large cankers present, are they being calloused over?",Area of trunk infected by canker (%),Area of base/ root flare infected by canker (%),"If trees are infected, severity of infection",Shape of terminal bud (true/ hybrid character),Shape of bud scar (true/ hybrid character),Shape/ length of lenticels (true/ hybrid character),"If fruits are visible, how many in a bunch?",Plant associates,Any additional notes (from health assessment form),Seedling (Y/N)
JC-W-WCP-SH1,Y,41.8923106,-88.2249426,Forest Preserve District of DuPage County,Y,,WCP,September,09-21-2024,,0,,50,14,No,,5,0,2,Yes,Yes,20,90,4,,,,,,"Not seedling (DBH provided, tall) For severity of infection, both 3 and 5 were circled;",N
JC-W-WCP-SH2,Y,41.8924017,-88.2250911,Forest Preserve District of DuPage County,Y,Not collected,WCP,September,09-21-2024,,,,,10,No,,5,0,0,Yes,Yes,30,60,4.5,,,,,,"Not seedling (DBH provided, explicit ""too tall""); Notes left the heigh estimate blank, but noted that nothing was collected because it was ""too tall to slingshot,"" so presumably this tree was tall.. For severity of infection, both 4 and 5 were circled",N
JC-W-WCP-SH3,Y,41.892342,-88.2252017,Forest Preserve District of DuPage County,Y,,WCP,September,09-21-2024,,,,40,8,No,leaves,0,,3,Yes,Yes,90,,5,1,1,1,,,"Nearby is a fallen over dead tree did not record, 40 ft east is base record dead in winter; regarding plant height, broken off @ 20 ft, likely was 40 ft; vigorous, GRAFT IT; comeback for area of base/root flare canker area estimate.; verified date sampled with the photo details.September_WCP_SeansPhone",N
JC-W-WCP-SH4,Y,41.8923605,-88.225479,Forest Preserve District of DuPage County,Y,,WCP,September,09-21-2024,,,,45,11,No,leaves,0,2,0,Yes,No,50,,3.5,1,,,,,"The tree was broken at 15 ft, but was probably 45ft; verified date sampled with the photo details.September_WCP_SeansPhone",N
JC-W-WCP-SH5,Y,41.8923071,-88.2254321,Forest Preserve District of DuPage County,Y,,WCP,September,09-21-2024,,,,,,,leaves,,,,Yes,,,,,1,,1,,,"Seedling; probably first year; dieback on tips; These are two seedlings (SH5 and 6) wedged under a fallen down tree and couldn't get to the base to even see if they are one tree or not.  So, same GPS point, same size and position.  Just unsure if its one seedling; verified date sampled with the photo data: September_WCP_SeansPhone ; leaves were taken from each seperated stem (the stem designated from SH5 had its own leaves and the stem deemed SH6 had its own leaves taken). ",Y
JC-W-WCP-SH6,Y,41.8923071,-88.2254321,Forest Preserve District of DuPage County,Y,,WCP,September,09-21-2024,,,,,,,leaves,,,,Yes,,,,,1,,1,,,"Seedling; same as 5 because ""These are two seedlings wedged under a fallen down tree and couldn't get to the base to even see if they are one tree or not.  So, same GPS point, same size and position.  Just unsure if its one seedling""; verified date with photo metadata: September_WCP_SeansPhone ; leaves were taken from each seperated stem (the stem designated from SH5 had its own leaves and the stem deemed SH6 had its own leaves taken). ",Y
JC-W-WCP-SH7,Y,41.8923088,-88.2253456,Forest Preserve District of DuPage County,Y,,WCP,September,09-21-2024,,,,2.5,1.27,,leaves,70,0,0,Yes,No,30,,,1,,1,,,"Explicitly wrote sapling and DBH provided; The paper form wrote the DBH in inches (0.5 inches) however our form is in cm, so I multipied in by the conversion of (1 inch = 2.54 cm); Sapling had two trunk, one trunk died mostly, at least second in third year. Verified date with the photos: September_WCP_SeansPhone",N
JC-W-WCP-SH8,Y,41.8922809,-88.225528,Forest Preserve District of DuPage County,Y,,WCP,September,09-21-2024,,,,1.25,,,leaves,60,,,Yes,,30,,,1,,1,,,Double woody trunk sapling not new this year? Near dead part; verified date with photo: September_WCP_SeansPhone,Y
JC-W-WCP-SH9,Y,41.8921761,-88.2254807,Forest Preserve District of DuPage County,N,,WCP,September,09-21-2024,,,,2,,,leaves,,,,No,,,,,1,,,,,Seedling; thought hard to tell looks crushed by fallen tree needs freeing; verified date with photo: September_WCP_SeansPhone,Y
JC-W-WCP-SH10,Y,41.8922432,-88.2256269,Forest Preserve District of DuPage County,Y,Not collected,WCP,September,09-21-2024,,,,60,,,voucher; other-twigs,,0,0,Yes,Yes,5,30,3,1,1,1,,,"Was healthy?Broken @ 15 ft was huge maybe 60+ feet total just fell recently still life twigs. Likely fell by wind, not much canker;verified date with photo: September_WCP_SeansPhone ",N
JC-W-WCP-SH11,Y,41.8922437,-88.2262149,Forest Preserve District of DuPage County,,,WCP,September,09-21-2024,,,,1.5,,,leaves,30,,,,,,,,1,,1,,,The canopy was a bit crushed by brush; ;verified date with photo: September_WCP_SeansPhone ,Y
JC-W-WCP-SH12,Y,41.8922375,-88.2265308,Forest Preserve District of DuPage County,Y,,WCP,September,09-21-2024,,,,45,35.56,,,40,0,0,Yes,None present,10,,2.5,,,,,,"Come back slingshot or tall pole; Note forgot to take photo of datasheet, but preview photo is seedling.; comfirmed date from field notes:Sean_notes_Danada_and_WCP_Sept_2024.docx ",N
JC-W-WCP-SH13,Y,41.8923767,-88.2264812,Forest Preserve District of DuPage County,,,WCP,September,09-21-2024,,,,1,,,leaves,,,,,,,,,,,,,,Seedling; woody not first year;;verified date with photo: https://drive.google.com/drive/folders/1NE-Ry0h_pKo2S1o_kLpZW4TIU5BWJHvo,Y
JC-W-WCP-SH14,Y,41.8922836,-88.2252768,Forest Preserve District of DuPage County,Y,,WCP,September,09-21-2024,,,,3,1.27,,leaves,100,0,0,Yes,No,12.5,,,1,2,2,,,Single trunk sapling 2-3 years old; DBH provided in inches (0.5 inch);  area of trunk infected by canker was written as 10-15% but I (Hank) inputted the lower of the range; possible dear browse.; ;verified date with photo: https://drive.google.com/drive/folders/1NE-Ry0h_pKo2S1o_kLpZW4TIU5BWJHvo,N
JC-W-WCP-SH15,Y,41.8924469,-88.2249922,Forest Preserve District of DuPage County,Y,,WCP,September,09-21-2024,,,,2.5,1.27,,leaves,100,,,Yes,,5,,,1,,,,,"Single trunk other trunks mowed? Several years old. DBH provided in inches, as well, (0.5 inches); converted to cm. Under the area of trunk infected by canker, noted ""Beautiful!"" Two dead trunks near ground, mowing damage?!?;;verified date with photo: https://drive.google.com/drive/folders/1NE-Ry0h_pKo2S1o_kLpZW4TIU5BWJHvo",N
JC-W-WCP-SH16,Y,41.892743,-88.229236,Forest Preserve District of DuPage County,Y,MISSING SAMPLE,WCP,September,09-26-2024,,,,35,53,,,,0,0,Yes,Yes,10,30,2,,,,,,"Leaning heavily to North, partly because huge branch broke leaving a five foot tall hole in trunk; however, looks healthy. Plant height is a guess based on a 35 degree angle at 32 feet away. Didn't sample, comeback after checking landowner.",N
JC-W-WCP-SH17,Y,41.892542,-88.228323,Forest Preserve District of DuPage County,Y,,WCP,September,09-26-2024,,,,1,,,leaves,100,0,0,Yes,No,5,0,1,1,,,,,N/a for producing seed,Y
JC-W-WCP-SH18,Y,41.892345,-88.2282082,Forest Preserve District of DuPage County,Y,,WCP,September,09-26-2024,,0,,40,34.9,,"voucher, leaves",90,0,0,Yes,Yes,40,10,2,,,,,,"40ft is a guess, had 2 fruit early in season; healing well",N
JC-W-WCP-SH19,Y,41.892449,-88.22633,Forest Preserve District of DuPage County,Y,,WCP,September,09-26-2024,,,,3,,No,leaves,100,,,Yes,None present,10,0,1,1,1,1,,"tall goldenrod, sumac, buckthorn, honeysuckle, queen-annes lace",Seedling: 2 stems; ,Y
JC-W-WCP-SH20,Y,41.8922407,-88.2264513,Forest Preserve District of DuPage County,N,,WCP,September,09-26-2024,,,,1.5,,No,leaves,100,0,0,No,None present,,0,1,1,1,1,,,seedling,Y
JC-W-WCP-SH21,Y,41.8922921,-88.2263672,Forest Preserve District of DuPage County,Y,,WCP,September,09-26-2024,,,,3,,No,leaves,100,0,0,Yes,,25,,,,,,,,(Percent live canopy) Some browse of leaves?,Y
JC-W-WCP-SH22,Y,41.892426,-88.226074,Forest Preserve District of DuPage County,N,,WCP,September,09-26-2024,,,,2,,No,leaves,65,,,No,None present,0,0,,,,,,"tall goldenrod, buckthorn, sumac, joe pye weed, queen annes lace",,Y
