"site","site_owner","date","plant_number","plant_initials","first_photo","last_photo","camera","seedling_y_n","gps_north","gps_west","slope","aspect","plant_height_ft","dbh_cm","producing_seed","percent_live_canopy","base_epicormics","trunk_epicormics","has_canker","has_callous","trunk_canker_area","base_canker_area","purdue_severity","shape_terminal_bud","shape_leaf_scar","shape_lenticels","seed_per_bunch","plant_associates","additional_notes"
"WCP","Forest Preserve District of DuPage County","9-21-2024",1,"SH",6261,6280,"SeansPhone","N",41.8923106,-88.2249426,0,NA,50,14,"No",5,0,2,"Yes","Yes",20,90,"4",NA,NA,NA,NA,NA,"Not seedling (DBH provided, tall) For severity of infection, both 3 and 5 were circled;"
"WCP","Forest Preserve District of DuPage County","9-21-2024",2,"SH",6281,6292,"SeansPhone","N",41.8924017,-88.2250911,NA,NA,NA,10,"No",5,0,0,"Yes","Yes",30,60,"4.5",NA,NA,NA,NA,NA,"Not seedling (DBH provided, explicit ""too tall""); Notes left the heigh estimate blank, but noted that nothing was collected because it was ""too tall to slingshot,"" so presumably this tree was tall.. For severity of infection, both 4 and 5 were circled"
"WCP","Forest Preserve District of DuPage County","9-21-2024",3,"SH",6308,6327,"SeansPhone","N",41.892342,-88.2252017,NA,NA,40,8,"No",0,NA,3,"Yes","Yes",90,NA,"5",1,1,1,NA,NA,"Nearby is a fallen over dead tree did not record, 40 ft east is base record dead in winter; regarding plant height, broken off @ 20 ft, likely was 40 ft; vigorous, GRAFT IT; comeback for area of base/root flare canker area estimate.; verified date sampled with the photo details.September_WCP_SeansPhone"
"WCP","Forest Preserve District of DuPage County","9-21-2024",4,"SH",6329,6342,"SeansPhone","N",41.8923605,-88.225479,NA,NA,45,11,"No",0,2,0,"Yes","No",50,NA,"3.5",1,NA,NA,NA,NA,"The tree was broken at 15 ft, but was probably 45ft; verified date sampled with the photo details.September_WCP_SeansPhone"
"WCP","Forest Preserve District of DuPage County","9-21-2024",5,"SH",6343,6347,"SeansPhone","Y",41.8923071,-88.2254321,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,1,NA,1,NA,NA,"Seedling; probably first year; dieback on tips; These are two seedlings (SH5 and 6) wedged under a fallen down tree and couldn't get to the base to even see if they are one tree or not.  So, same GPS point, same size and position.  Just unsure if its one seedling; verified date sampled with the photo data: September_WCP_SeansPhone ; leaves were taken from each seperated stem (the stem designated from SH5 had its own leaves and the stem deemed SH6 had its own leaves taken)."
"WCP","Forest Preserve District of DuPage County","9-21-2024",6,"SH",6348,6361,"SeansPhone","Y",41.8923071,-88.2254321,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,1,NA,1,NA,NA,"Seedling; same as 5 because ""These are two seedlings wedged under a fallen down tree and couldn't get to the base to even see if they are one tree or not.  So, same GPS point, same size and position.  Just unsure if its one seedling""; verified date with photo metadata: September_WCP_SeansPhone ; leaves were taken from each seperated stem (the stem designated from SH5 had its own leaves and the stem deemed SH6 had its own leaves taken)."
"WCP","Forest Preserve District of DuPage County","9-21-2024",7,"SH",6362,6378,"SeansPhone","N",41.8923088,-88.2253456,NA,NA,2.5,1.27,NA,70,0,0,"Yes","No",30,NA,NA,1,NA,1,NA,NA,"Explicitly wrote sapling and DBH provided; The paper form wrote the DBH in inches (0.5 inches) however our form is in cm, so I multipied in by the conversion of (1 inch = 2.54 cm); Sapling had two trunk, one trunk died mostly, at least second in third year. Verified date with the photos: September_WCP_SeansPhone"
"WCP","Forest Preserve District of DuPage County","9-21-2024",8,"SH",6380,6395,"SeansPhone","Y",41.8922809,-88.225528,NA,NA,1.25,NA,NA,60,NA,NA,"Yes",NA,30,NA,NA,1,NA,1,NA,NA,"Double woody trunk sapling not new this year? Near dead part; verified date with photo: September_WCP_SeansPhone"
"WCP","Forest Preserve District of DuPage County","9-21-2024",9,"SH",6396,6406,"SeansPhone","Y",41.8921761,-88.2254807,NA,NA,2,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,1,NA,NA,NA,NA,"Seedling; thought hard to tell looks crushed by fallen tree needs freeing; verified date with photo: September_WCP_SeansPhone"
"WCP","Forest Preserve District of DuPage County","9-21-2024",10,"SH",6408,6429,"SeansPhone","N",41.8922432,-88.2256269,NA,NA,60,NA,NA,NA,0,0,"Yes","Yes",5,30,"3",1,1,1,NA,NA,"Was healthy?Broken @ 15 ft was huge maybe 60+ feet total just fell recently still life twigs. Likely fell by wind, not much canker;verified date with photo: September_WCP_SeansPhone"
"WCP","Forest Preserve District of DuPage County","9-21-2024",11,"SH",6432,6446,"SeansPhone","Y",41.8922437,-88.2262149,NA,NA,1.5,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,"The canopy was a bit crushed by brush; ;verified date with photo: September_WCP_SeansPhone"
"WCP","Forest Preserve District of DuPage County","9-21-2024",12,"SH",6611,6623,"SeansPhone","N",41.8922375,-88.2265308,NA,NA,45,35.56,NA,40,0,0,"Yes","None present",10,NA,"2.5",NA,NA,NA,NA,NA,"Come back slingshot or tall pole; Note forgot to take photo of datasheet, but preview photo is seedling.; comfirmed date from field notes:Sean_notes_Danada_and_WCP_Sept_2024.docx"
"WCP","Forest Preserve District of DuPage County","9-21-2024",13,"SH",6458,6463,"SeansPhone","Y",41.8923767,-88.2264812,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seedling; woody not first year;;verified date with photo: https://drive.google.com/drive/folders/1NE-Ry0h_pKo2S1o_kLpZW4TIU5BWJHvo"
"WCP","Forest Preserve District of DuPage County","9-21-2024",14,"SH",6465,6482,"SeansPhone","N",41.8922836,-88.2252768,NA,NA,3,1.27,NA,100,0,0,"Yes","No",12.5,NA,NA,1,2,2,NA,NA,"Single trunk sapling 2-3 years old; DBH provided in inches (0.5 inch);  area of trunk infected by canker was written as 10-15% but I (Hank) inputted the lower of the range; possible dear browse.; ;verified date with photo: https://drive.google.com/drive/folders/1NE-Ry0h_pKo2S1o_kLpZW4TIU5BWJHvo"
"WCP","Forest Preserve District of DuPage County","9-21-2024",15,"SH",6483,6499,"SeansPhone","N",41.8924469,-88.2249922,NA,NA,2.5,1.27,NA,100,NA,NA,"Yes",NA,5,NA,NA,1,NA,NA,NA,NA,"Single trunk other trunks mowed? Several years old. DBH provided in inches, as well, (0.5 inches); converted to cm. Under the area of trunk infected by canker, noted ""Beautiful!"" Two dead trunks near ground, mowing damage?!?;;verified date with photo: https://drive.google.com/drive/folders/1NE-Ry0h_pKo2S1o_kLpZW4TIU5BWJHvo"
"WCP","Forest Preserve District of DuPage County","9-26-2024",16,"SH",1401,1410,"SonyRX100M4","N",41.892743,-88.229236,NA,NA,35,53,NA,NA,0,0,"Yes","Yes",10,30,"2",NA,NA,NA,NA,NA,"Leaning heavily to North, partly because huge branch broke leaving a five foot tall hole in trunk; however, looks healthy. Plant height is a guess based on a 35 degree angle at 32 feet away. Didn't sample, comeback after checking landowner."
"WCP","Forest Preserve District of DuPage County","9-26-2024",17,"SH",2787,2793,"SonyHX90V","Y",41.892542,-88.228323,NA,NA,1,NA,NA,100,0,0,"Yes","No",5,0,"1",1,NA,NA,NA,NA,"N/a for producing seed"
"WCP","Forest Preserve District of DuPage County","9-26-2024",18,"SH",1411,1430,"SonyRX100M4","N",41.892345,-88.2282082,0,NA,40,34.9,NA,90,0,0,"Yes","Yes",40,10,"2",NA,NA,NA,NA,NA,"40ft is a guess, had 2 fruit early in season; healing well"
"WCP","Forest Preserve District of DuPage County","9-26-2024",19,"SH",2794,2800,"SonyHX90V","Y",41.892449,-88.22633,NA,NA,3,NA,"No",100,NA,NA,"Yes","None present",10,0,"1",1,1,1,NA,"tall goldenrod, sumac, buckthorn, honeysuckle, queen-annes lace","Seedling: 2 stems;"
"WCP","Forest Preserve District of DuPage County","9-26-2024",20,"SH",1432,1437,"SonyRX100M4","Y",41.8922407,-88.2264513,NA,NA,1.5,NA,"No",100,0,0,"No","None present",NA,0,"1",1,1,1,NA,NA,"seedling"
"WCP","Forest Preserve District of DuPage County","9-26-2024",21,"SH",1438,1443,"SonyRX100M4","Y",41.8922921,-88.2263672,NA,NA,3,NA,"No",100,0,0,"Yes",NA,25,NA,NA,NA,NA,NA,NA,NA,"(Percent live canopy) Some browse of leaves?"
"WCP","Forest Preserve District of DuPage County","9-26-2024",22,"SH",2801,2808,"SonyHX90V","Y",41.892426,-88.226074,NA,NA,2,NA,"No",65,NA,NA,"No","None present",0,0,NA,NA,NA,NA,NA,"tall goldenrod, buckthorn, sumac, joe pye weed, queen annes lace",NA
"WCP","Forest Preserve District of DuPage County","9-26-2024",23,"SH",2809,2816,"SonyHX90V","Y",41.892517,-88.225871,NA,NA,4.5,NA,"No",90,5,0,"No","None present",0,0,NA,1,1,1,NA,"tall goldenrod, sumac, rubus, joe pye weed","seedling (explicit N/A written for DBH)"
"WCP","Forest Preserve District of DuPage County","9-26-2024",24,"SH",2817,2823,"SonyHX90V","Y",41.892519,-88.225719,NA,NA,3,NA,"No",50,NA,NA,"Yes","Yes",30,0,NA,1,1,1,NA,"tall goldenrod, rubus, buckthorn, bur oak","seedling (explicit N/A written for DBH); small cankers present that are being calloused over"
"WCP","Forest Preserve District of DuPage County","9-26-2024",25,"SH",2824,2830,"SonyHX90V","Y",41.892519,-88.225719,NA,NA,3,NA,"No",100,NA,NA,"No","None present",0,0,NA,1,1,1,NA,"tall goldenrod, rubus, buckthorn, bur oak","Plant associates same as SH24"
"WCP","Forest Preserve District of DuPage County","9-26-2024",26,"SH",1444,1456,"SonyRX100M4","N",41.8926103,-88.2259373,25,"N",NA,6.35,"No",100,0,0,"Yes","Yes",50,NA,NA,1,1,1,NA,NA,"Not seedling (DBH provided, unique because no height provided); DBH provided in inches (not cm); Next to telephone pole; inline of brush that Dupage Co migth clear; they are cutting brush today (Sept 26th, 2024)"
"WCP","Forest Preserve District of DuPage County","",27,"SH",NA,NA,"","N",41.8925781,-88.2262921,0,NA,6.5,1.905,"No",100,0,0,"No",NA,NA,NA,"1",3,2,NA,NA,NA,"DBH provided in inches (not cm); very vigorous, growing above brush, huge leaf scar, v large terminal bud and lots of thorns! Couldn't see the root flare."
"WCP","Forest Preserve District of DuPage County","10-03-2024",28,"SH",6806,6820,"SeansPhone","N",41.8925871,-88.2249285,NA,"N,S",7,3.175,"No",100,0,0,"No","None present",0,30,"1",3,1,2,NA,"grapevine","DBH provided in inches (not cm); heavily weighted by grapevines needs mgmt-highly, bent at 45 degrees. Said no visible cankers, ""1 wound but I think not canker."" But, then for the base/root flare there was a note that said ""unclear if canker its black."""
"WCP","Forest Preserve District of DuPage County","10-03-2024",29,"SH",6821,6838,"SeansPhone","Y",41.8925679,-88.2256738,NA,NA,3.5,NA,NA,100,1,0,"Yes","Yes",40,0,"1",2,1,1,NA,NA,"Explicitly wrote sapling, but no DBH was provided so I said yes to Seedling status; Heavy canker on one branch low down, shows deer browse and possible mower damage"
"WCP","Forest Preserve District of DuPage County","10-03-2024",30,"SH",6840,6845,"SeansPhone","Y",41.8925926,-88.2257087,NA,NA,1,NA,"No",NA,0,0,"No","No",0,0,"1",1,NA,NA,NA,NA,"Not a first year, has deer browse, two dead stems, coming back."
"WCP","Forest Preserve District of DuPage County","10-03-2024",31,"SH",6846,6855,"SeansPhone","Y",41.8925337,-88.2256809,NA,NA,1.5,NA,"No",100,0,0,"No","No",0,0,"1",1,NA,NA,NA,NA,"Next to 2 dead sprouts- deer browse? Not sure if seperate seedlings or not."
"WCP","Forest Preserve District of DuPage County","10-03-2024",32,"SH",6856,6869,"SeansPhone","N",41.8926108,-88.2255739,NA,NA,6,0.762,"No",NA,NA,1,"Yes","None present",5,0,"1",2,1,1,NA,NA,"DBH provided in inches (not cm); pretty sure cinerea, but maybe nigra. But streaks of black & one dead branch appears to have canker."
