Date,site,plant_number,first_photo,last_photo,camera
9-21-2024,WCP,1,6261,6280,SeansPhone
9-21-2024,WCP,2,6281,6292,SeansPhone
9-21-2024,WCP,3,6308,6327,SeansPhone
9-21-2024,WCP,4,6329,6342,SeansPhone
9-21-2024,WCP,5,6343,6347,SeansPhone
9-21-2024,WCP,6,6348,6361,SeansPhone
9-21-2024,WCP,7,6362,6378,SeansPhone
9-21-2024,WCP,8,6380,6395,SeansPhone
9-21-2024,WCP,9,6396,6406,SeansPhone
9-21-2024,WCP,10,6408,6429,SeansPhone
9-21-2024,WCP,11,6432,6446,SeansPhone
9-21-2024,WCP,12,6611,6623,SeansPhone
9-21-2024,WCP,13,6458,6463,SeansPhone
9-21-2024,WCP,14,6465,6482,SeansPhone
9-21-2024,WCP,15,6483,6499,SeansPhone
9-26-2024,WCP,16,1401,1410,SonyRX100M4
9-26-2024,WCP,17,2787,2793,SonyHX90V
9-26-2024,WCP,18,1411,1430,SonyRX100M4
9-26-2024,WCP,19,2794,2800,SonyHX90V
9-26-2024,WCP,20,1432,1437,SonyRX100M4
9-26-2024,WCP,21,1438,1443,SonyRX100M4
9-26-2024,WCP,22,2801,2808,SonyHX90V
9-26-2024,WCP,23,2809,2816,SonyHX90V
9-26-2024,WCP,24,2817,2823,SonyHX90V
9-26-2024,WCP,25,2824,2830,SonyHX90V
9-26-2024,WCP,26,1444,1456,SonyRX100M4
,WCP,27,,,
10-03-2024,WCP,28,6806,6820,SeansPhone
10-03-2024,WCP,29,6821,6838,SeansPhone
10-03-2024,WCP,30,6840,6845,SeansPhone
10-03-2024,WCP,31,6846,6855,SeansPhone
10-03-2024,WCP,32,6856,6869,SeansPhone
10-03-2024,WCP,33,6870,6884,SeansPhone
10-03-2024,WCP,34,6885,6895,SeansPhone
10-03-2024,WCP,35,6896,6905,SeansPhone
10-03-2024,WCP,36,6906,6916,SeansPhone
,WCP,37,,,
10-08-2024,WCP,38,7016,7021,SeansPhone
10-08-2024,WCP,39,7023,7032,SeansPhone
,WCP,40,,,
,WCP,41,,,
,WCP,42,,,
,WCP,43,,,
,WCP,44,,,
,WCP,45,,,
,WCP,46,,,
,WCP,47,,,
,WCP,48,,,
,WCP,49,,,
,WCP,50,,,
,WCP,51,,,
,WCP,52,,,
,WCP,53,,,
10-11-2024,WCP,54,7096,7109,SeansPhone
10-11-2024,WCP,55,7110,7116,SeansPhone
10-11-2024,WCP,56,7117,7128,SeansPhone
10-11-2024,WCP,57,7129,7140,SeansPhone
10-11-2024,WCP,58,7141,7149,SeansPhone
10-11-2024,WCP,59,7150,7160,SeansPhone
10-11-2024,WCP,60,7161,7174,SeansPhone
10-11-2024,WCP,61,7175,7191,SeansPhone
10-11-2024,WCP,62,7192,7205,SeansPhone
10-14-2024,WCP,63,7248,7271,SeansPhone
10-14-2024,WCP,64,7272,7295,SeansPhone
10-14-2024,WCP,65,7296,7314,SeansPhone
10-14-2024,WCP,66,7315,7331,SeansPhone
