timestamp,date,site_name,plant_number,first_photo,last_photo,camera
6/5/2025 10:07,6/5/2025,WCP,70,929,939,SonyHX90V
6/5/2025 10:33,6/5/2025,WCP,67,940,953,SonyHX90V
6/5/2025 11:21,6/5/2025,WCP,71,954,961,SonyHX90V
6/5/2025 11:47,6/5/2025,WCP,72,962,974,SonyHX90V
6/5/2025 13:28,6/5/2025,WCP,18,975,985,SonyHX90V
6/5/2025 14:00,6/5/2025,WCP,17,986,995,SonyHX90V
6/5/2025 14:34,6/5/2025,WCP,69,996,1012,SonyHX90V
6/5/2025 14:54,6/5/2025,WCP,44,1014,1020,SonyHX90V
6/6/2025 9:37,6/6/2025,WCP,43,1021,1027,SonyHX90V
6/6/2025 10:28,6/6/2025,WCP,48,829,844,SonyRX100M4
6/6/2025 10:48,6/6/2025,WCP,45,848,858,SonyRX100M4
6/6/2025 11:02,6/6/2025,WCP,46,860,869,SonyRX100M4
6/6/2025 11:24,6/6/2025,WCP,47,870,879,SonyRX100M4
6/6/2025 11:41,6/6/2025,WCP,74,880,891,SonyRX100M4
6/12/2025 9:27,6/12/2025,WCP,37,469,486,SeansPhone
6/12/2025 10:00,6/12/2025,WCP,75,487,498,SeansPhone
6/12/2025 10:20,6/12/2025,WCP,28,499,518,SeansPhone
6/12/2025 10:34,6/12/2025,WCP,34,519,532,SeansPhone
6/12/2025 10:59,6/12/2025,WCP,32,534,553,SeansPhone
6/12/2025 11:09,6/12/2025,WCP,30,554,559,SeansPhone
6/12/2025 11:26,6/12/2025,WCP,26,560,577,SeansPhone
6/12/2025 12:09,6/12/2025,WCP,51,578,591,SeansPhone
6/12/2025 13:52,6/12/2025,WCP,42,7098,7109,HanksPhone
6/12/2025 14:14,6/12/2025,WCP,68,7110,7117,HanksPhone
6/12/2025 14:33,6/12/2025,WCP,40,7118,7125,HanksPhone
6/12/2025 14:47,6/12/2025,WCP,41,7126,7133,HanksPhone
6/19/2025 9:30,6/19/2025,WCP,1,7224,7236,HanksPhone
6/19/2025 10:02,6/19/2025,WCP,15,7237,7245,HanksPhone
6/19/2025 10:18,6/19/2025,WCP,2,7247,7249,HanksPhone
6/19/2025 10:46,6/19/2025,WCP,7,7250,7255,HanksPhone
6/19/2025 11:16,6/19/2025,WCP,5,7256,7265,HanksPhone
6/19/2025 11:32,6/19/2025,WCP,6,7266,7281,HanksPhone
6/19/2025 11:59,6/19/2025,WCP,8,1028,1034,SonyHX90V
6/19/2025 12:01,6/19/2025,WCP,14,625,647,SeansPhone
6/19/2025 12:12,6/19/2025,WCP,38,1035,1038,SonyHX90V
6/19/2025 12:12,6/19/2025,WCP,53,648,666,SeansPhone
6/19/2025 12:45,6/19/2025,WCP,54,1039,1046,SonyHX90V
6/19/2025 12:53,6/19/2025,WCP,57,667,684,SeansPhone
6/19/2025 13:05,6/19/2025,WCP,39,1047,1053,SonyHX90V
6/19/2025 13:59,6/19/2025,WCP,11,685,696,SeansPhone
6/19/2025 14:08,6/19/2025,WCP,77,697,712,SeansPhone
6/19/2025 14:09,6/19/2025,WCP,55,1054,1060,SonyHX90V
6/19/2025 14:18,6/19/2025,WCP,76,713,731,SeansPhone
6/26/2025 8:49,6/26/2025,WCP,22,1061,1078,SonyHX90V
6/26/2025 9:07,6/26/2025,WCP,23,1079,1096,SonyHX90V
6/26/2025 9:30,6/26/2025,WCP,25,1097,1106,SonyHX90V
6/26/2025 9:40,6/26/2025,WCP,31,1114,1126,SonyHX90V
6/26/2025 9:40,6/26/2025,WCP,24,1107,1113,SonyHX90V
6/26/2025 10:03,6/26/2025,WCP,29,798,821,SeansPhone
6/26/2025 10:06,6/26/2025,WCP,19,827,843,SeansPhone
6/26/2025 10:38,6/26/2025,WCP,3,1128,1145,SonyHX90V
6/26/2025 11:14,6/26/2025,WCP,61,844,871,SeansPhone
6/26/2025 11:33,6/26/2025,WCP,62,872,892,SeansPhone
6/26/2025 11:51,6/26/2025,WCP,50,898,912,SeansPhone
6/26/2025 12:02,6/26/2025,WCP,56,1146,1155,SonyHX90V
6/26/2025 12:25,6/26/2025,WCP,78,913,939,SeansPhone
6/26/2025 12:42,6/26/2025,WCP,49,940,968,SeansPhone
6/26/2025 12:57,6/26/2025,WCP,79,979,985,SeansPhone
6/26/2025 13:46,6/26/2025,WCP,21,1156,1164,SonyHX90V
6/26/2025 13:59,6/26/2025,WCP,59,1165,1171,SonyHX90V
7/1/2025 9:56,7/1/2025,WCP,12,1026,1052,SeansPhone
7/1/2025 10:13,7/1/2025,WCP,20,1053,1074,SeansPhone
7/1/2025 10:35,7/1/2025,WCP,80,1076,1084,SeansPhone
7/1/2025 10:57,7/1/2025,WCP,66,1085,1128,SeansPhone
7/3/2025 8:38,7/3/2025,Sugar River,1,NA,NA,SandrasPhone
7/3/2025 8:54,7/3/2025,Sugar River,2,NA,NA,SandrasPhone
7/3/2025 10:05,7/3/2025,Sugar River,3,NA,NA,SandrasPhone
7/3/2025 10:58,7/3/2025,Sugar River,4,NA,NA,SandrasPhone
7/3/2025 11:29,7/3/2025,Sugar River,5,NA,NA,SandrasPhone
7/3/2025 11:47,7/3/2025,Sugar River,6,NA,NA,SandrasPhone
7/3/2025 12:58,7/3/2025,Sugar River,7,NA,NA,SandrasPhone
7/3/2025 13:17,7/3/2025,Sugar River,8,NA,NA,SandrasPhone
7/11/2025 9:42,7/11/2025,CPVT,1,1729,1741,SeansPhone
7/11/2025 9:50,7/11/2025,CPVT,2,1742,1754,SeansPhone
7/11/2025 10:01,7/11/2025,CPVT,3,1755,1762,SeansPhone
7/11/2025 10:05,7/11/2025,CPVT,4,1238,1244,SonyHX90V
7/11/2025 10:08,7/11/2025,CPVT,5,1764,1768,SeansPhone
7/11/2025 10:16,7/11/2025,CPVT,7,1769,1775,SeansPhone
7/11/2025 10:19,7/11/2025,CPVT,6,1245,1252,SonyHX90V
7/11/2025 10:24,7/11/2025,CPVT,8,1776,1788,SeansPhone
7/11/2025 10:28,7/11/2025,CPVT,9,1253,1259,SonyHX90V
7/11/2025 10:30,7/11/2025,CPVT,10,1789,1795,SeansPhone
7/11/2025 11:03,7/11/2025,CPVT,11,1796,1810,SeansPhone
7/11/2025 11:06,7/11/2025,CPVT,12,1260,1270,SonyHX90V
7/11/2025 11:14,7/11/2025,CPVT,13,1811,1826,SeansPhone
7/11/2025 11:20,7/11/2025,CPVT,15,1827,1839,SeansPhone
7/11/2025 11:21,7/11/2025,CPVT,14,1271,1279,SonyHX90V
7/11/2025 13:39,7/11/2025,CPVT,16,1280,1291,SonyHX90V
7/11/2025 13:39,7/11/2025,CPVT,17,1857,1874,SeansPhone
7/11/2025 13:56,7/11/2025,CPVT,18,1875,1896,SeansPhone
7/11/2025 13:59,7/11/2025,CPVT,19,1292,1301,SonyHX90V
7/11/2025 14:12,7/11/2025,CPVT,20,1897,1920,SeansPhone
7/11/2025 14:20,7/11/2025,CPVT,21,1302,1313,SonyHX90V
7/11/2025 14:31,7/11/2025,CPVT,22,1921,1942,SeansPhone
7/11/2025 14:43,7/11/2025,CPVT,23,1314,1325,SonyHX90V
7/11/2025 14:57,7/11/2025,CPVT,24,1326,1331,SonyHX90V
7/11/2025 14:59,7/11/2025,CPVT,25,1945,1958,SeansPhone
7/11/2025 15:14,7/11/2025,CPVT,27,1959,1974,SeansPhone
7/11/2025 16:24,7/11/2025,CPVT,26,1332,1354,SonyHX90V
7/16/2025 13:02,7/8/2025,ILM,108,1304,1330,SeansPhone
7/16/2025 13:07,7/8/2025,ILM,400,1222,1254,SeansPhone
7/16/2025 13:13,7/8/2025,ILM,27,1214,1221,SeansPhone
7/16/2025 13:20,7/9/2025,ILM,178,1500,1511,SeansPhone
7/16/2025 13:23,7/9/2025,ILM,191,1484,1499,SeansPhone
7/16/2025 13:27,7/10/2025,ILM,209,1228,1237,SonyHX90V
7/16/2025 13:31,7/10/2025,ILM,214,1682,1696,SeansPhone
7/16/2025 13:37,7/10/2025,ILM,211,1675,1681,SeansPhone
7/16/2025 13:41,7/10/2025,ILM,210,1662,1674,SeansPhone
7/16/2025 13:44,7/10/2025,ILM,208,1642,1661,SeansPhone
7/16/2025 13:49,7/10/2025,ILM,245,1634,1640,SeansPhone
7/16/2025 15:19,7/10/2025,ILM,201,1218,1227,SonyHX90V
7/16/2025 15:24,7/10/2025,ILM,219,1626,1633,SeansPhone
7/16/2025 15:31,7/10/2025,ILM,340,1606,1625,SeansPhone
7/16/2025 15:35,7/10/2025,ILM,355,1204,1217,SonyHX90V
7/16/2025 15:38,7/10/2025,ILM,352,1537,1545,SeansPhone
7/16/2025 15:42,7/10/2025,ILM,342,1594,1605,SeansPhone
7/16/2025 15:49,7/10/2025,ILM,353,9692,5716,JimsPhone
7/17/2025 8:32,7/10/2025,ILM,344,8378,4762,JimsPhone
7/17/2025 8:37,7/10/2025,ILM,346,4945,3525,JimsPhone
